"Date","Address","lat","lon","Killed","Injured","Content"
2014-05-10,"1100 To Lani Farm Road, Stone Mountain, Georgia",33.7621815,-84.2059074,1,3,"<b>Date: </b>2014-05-10<br/><b>Killed: </b>1<br/><b>Injured: </b>3<br/><b>Location: </b>1100 To Lani Farm Road, Stone Mountain, Georgia"
2014-05-10,"Natomas, Sacramento, California",38.6707575,-121.5078821,1,6,"<b>Date: </b>2014-05-10<br/><b>Killed: </b>1<br/><b>Injured: </b>6<br/><b>Location: </b>Natomas, Sacramento, California"
2014-05-10,"Shamrock Drive , Decatur, Georgia",33.7309229,-84.2573276,2,3,"<b>Date: </b>2014-05-10<br/><b>Killed: </b>2<br/><b>Injured: </b>3<br/><b>Location: </b>Shamrock Drive , Decatur, Georgia"
2014-05-11,"Peregrine Park, Sacramento, California",38.624052,-121.525285,1,6,"<b>Date: </b>2014-05-11<br/><b>Killed: </b>1<br/><b>Injured: </b>6<br/><b>Location: </b>Peregrine Park, Sacramento, California"
2014-05-11,"2517 Shasta, Memphis, Tennessee",35.1687455,-89.9733382,0,7,"<b>Date: </b>2014-05-11<br/><b>Killed: </b>0<br/><b>Injured: </b>7<br/><b>Location: </b>2517 Shasta, Memphis, Tennessee"
2014-05-12,"3400 West 24th Street, Chicago, Illinois",41.8480692,-87.7100181,0,4,"<b>Date: </b>2014-05-12<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>3400 West 24th Street, Chicago, Illinois"
2014-05-17,"84000 block of Pedro Drive, Coachella, California",33.6849318,-116.1887598,1,3,"<b>Date: </b>2014-05-17<br/><b>Killed: </b>1<br/><b>Injured: </b>3<br/><b>Location: </b>84000 block of Pedro Drive, Coachella, California"
2014-05-17,"2200 block of Adams Place NE, Washington, District of Columbia",38.9191751,-76.9748995,0,5,"<b>Date: </b>2014-05-17<br/><b>Killed: </b>0<br/><b>Injured: </b>5<br/><b>Location: </b>2200 block of Adams Place NE, Washington, District of Columbia"
2014-05-18,"1643 Cleveland Rd, Sandusky, Ohio",41.4429784,-82.6858564,0,7,"<b>Date: </b>2014-05-18<br/><b>Killed: </b>0<br/><b>Injured: </b>7<br/><b>Location: </b>1643 Cleveland Rd, Sandusky, Ohio"
2014-05-21,"4500 block of Village Fair Drive, Dallas, Texas",32.694118,-96.826773,1,3,"<b>Date: </b>2014-05-21<br/><b>Killed: </b>1<br/><b>Injured: </b>3<br/><b>Location: </b>4500 block of Village Fair Drive, Dallas, Texas"
2014-05-23,"840 Embarcadero Del Norte, Goleta (Isla Vista), California",34.4144407,-119.8553881,4,8,"<b>Date: </b>2014-05-23<br/><b>Killed: </b>4<br/><b>Injured: </b>8<br/><b>Location: </b>840 Embarcadero Del Norte, Goleta (Isla Vista), California"
2014-05-23,"6200 block of Eads Street, New Orleans, Louisiana",30.0227315,-90.0507377,1,7,"<b>Date: </b>2014-05-23<br/><b>Killed: </b>1<br/><b>Injured: </b>7<br/><b>Location: </b>6200 block of Eads Street, New Orleans, Louisiana"
2014-05-23,"9541 Flower Street, Bellflower, California",33.8821979,-118.1303257,2,2,"<b>Date: </b>2014-05-23<br/><b>Killed: </b>2<br/><b>Injured: </b>2<br/><b>Location: </b>9541 Flower Street, Bellflower, California"
2014-05-24,"Strathmoor Street, Detroit, Michigan",42.3983304,-83.1876231,0,4,"<b>Date: </b>2014-05-24<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>Strathmoor Street, Detroit, Michigan"
2014-05-24,"Ocean Boulevard near First Avenue North, Myrtle Beach, South Carolina",33.8173389,-78.6776649,3,1,"<b>Date: </b>2014-05-24<br/><b>Killed: </b>3<br/><b>Injured: </b>1<br/><b>Location: </b>Ocean Boulevard near First Avenue North, Myrtle Beach, South Carolina"
2014-05-25,"2100 block of Joffre Avenue, Toledo, Ohio",41.6616563,-83.5864427,1,3,"<b>Date: </b>2014-05-25<br/><b>Killed: </b>1<br/><b>Injured: </b>3<br/><b>Location: </b>2100 block of Joffre Avenue, Toledo, Ohio"
2014-05-31,"N/A, San Bernardino, California",34.1083449,-117.2897652,1,3,"<b>Date: </b>2014-05-31<br/><b>Killed: </b>1<br/><b>Injured: </b>3<br/><b>Location: </b>N/A, San Bernardino, California"
